parents,n_sons,sons,n_daughters,daughters,n_unknown_sex,epic,comments
Abhimanyu,1,,0,,,mahabharat,https://en.wikipedia.org/wiki/Abhimanyu
Abraham,8,,0,,,bible,
Abraham,2,,0,,,quran,diff. from bible
Adam and Eve,2,,0,,,bible,
Adhiratha,1,,0,,,mahabharat,
Agni,4,,1,,,mahabharat,https://en.wikipedia.org/wiki/Agni
Ali,18,,17,,,islam,https://en.wikipedia.org/wiki/Alids
Ambalika,1,Pandu,0,,,mahabharat,https://en.wikipedia.org/wiki/Ambalika
Ambika,1,Dhritrashtra,0,,,mahabharat,
Aniruddha,2,,0,,,mahabharat,https://en.wikipedia.org/wiki/Aniruddha
Aphrodite,1,,0,,,greek,
Apollo,1,,0,,,greek,
Ares,2,,1,,,greek,
Arjuna via 4 wives?,4,"Shrutakarma, Abhimanyu, Iravan, Babruvahana",0,,0,mahabharat,
Artemis,1,,0,,,greek,
Aruna and Shyeni,2,Jatayu and Sampati,0,,0,ramayan,
Athena,1,,0,,,greek,
Atlas,1,,7,,,greek,
Bahlika,1,Somadatta,1,,,mahabharat,https://en.wikipedia.org/wiki/Bahlika_(Mahabharata)
Balarama,2,"Nisatha, Ulmuka",0,,,mahabharat,https://en.wikipedia.org/wiki/Balarama
Bhagadatta,2,,0,,,mahabharat,https://en.wikipedia.org/wiki/Bhagadatta
Bhanu,1,,0,,,mahabharat,
Bharadvaja,2,,1,,,mahabharat,https://en.wikipedia.org/wiki/Bharadvaja
Bharat and Mandavi,2,Taksha and Pushkala,0,,0,ramayan,https://en.wikipedia.org/wiki/Mandavi
Bharata,1,,0,,,mahabharat,1 adopted: https://en.wikipedia.org/wiki/Bharata_(Mahabharata)
Bhima and 3 wives,3,"Ghatotkacha, Sutasoma, Sarvaga",0,,0,mahabharat,
Bhrigu,4,,1,,,mahabharat,https://en.wikipedia.org/wiki/Bhrigu
Brihaspati and Mamataa,2,,0,,,mahabharat,http://www.sushmajee.com/shani/3-reference-30-49/37-brihaspati.htm
Brihaspati and Shubh,0,,7,,,mahabharat,http://www.sushmajee.com/shani/3-reference-30-49/37-brihaspati.htm
Brihaspati and Tara,7,,1,,,mahabharat,
Budha,1,,0,,,mahabharat,https://en.wikipedia.org/wiki/Budha
Chandra and Rohini,1,,0,,,mahabharat,
Chandra et al.,2,"Varchas, Budha",0,,0,mahabharat,
Cronus,3,,3,,,greek,
Daniel,0,,0,,,bible,
Dashrath and 3 women,4,"shatrughana, ram, lakshman, bharat",1,shanta,0,ramayan,
David,19,,1,,,bible,
Deborah,0,,0,,,bible,
Demeter,0,,1,,,greek,
Devaki and Vasudev,8,,0,,,mahabharat,https://en.wikipedia.org/wiki/Devaki
Devayani,2,,1,,,mahabharat,https://en.wikipedia.org/wiki/Devayani
